country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,4,Gotlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2002,På rätt väg - men inte riktigt framme!
SE,Sweden,4,Gotlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Gotland - ett hem för oss alla
SE,Sweden,4,Gotlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2014,Ett bättre Gotland. För alla.
SE,Sweden,4,Gotlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Gotland 2006-2010
SE,Sweden,4,Gotlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,KOM IGEN GOTLAND
SE,Sweden,4,Gotlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Trygghet, vård och omsorg
SE,Sweden,4,Gotlands län,11810,CP,Centerpartiet,Centre Party,2006,Valplattform Centerpartiet Gotland 2006
SE,Sweden,4,Gotlands län,11810,CP,Centerpartiet,Centre Party,2010,No title
SE,Sweden,4,Gotlands län,11220,Vp,Vänsterpartiet,Left Party,2010,Vänsterpartiet Gotland För SOLIDARITET, JÄMSTÄLLDHET & RÄTTVISA!
SE,Sweden,4,Gotlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,Kommunpolitiskt valmanifest Kristdemokraterna Gotland
SE,Sweden,4,Gotlands län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Gotlandsmoderaternas valmanifest 2010
