country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,5,Hallands län,11220,Vp,Vänsterpartiet,Left Party,2006,Det svenska gemensamt finansierade sjukvårdsystemet är det bästa i världen! Vänsterpartiets landstingspolitik 2006-2010
SE,Sweden,5,Hallands län,11220,Vp,Vänsterpartiet,Left Party,2010,VÅR VÄLFÄRD DIN TRYGGHET
SE,Sweden,5,Hallands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Visionsprogram TRYGGHET KVALITET OCH OMTANKE
SE,Sweden,5,Hallands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Socialdemokratiskt regionalt handlingsprogram 2011-2014
SE,Sweden,5,Hallands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Regional politik i Halland
SE,Sweden,5,Hallands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Hallandsprogrammet
SE,Sweden,5,Hallands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Landstingspolitik
SE,Sweden,5,Hallands län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,Vi älskar Halland
SE,Sweden,5,Hallands län,11810,CP,Centerpartiet,Centre Party,2006,Framgång Halland!
SE,Sweden,5,Hallands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Regional und Halsö etc.


