country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,6,Jämtlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,För utvecklin och helhetssyn i Landstinget!
SE,Sweden,6,Jämtlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Framtiden är vår ? Valmanifest för ett grönare Jämtland; Miljöpartiets fokus under åren 2011-2014
SE,Sweden,6,Jämtlands län,11220,Vp,Vänsterpartiet,Left Party,2006,"En demokratisk, jämlik och jämställd hälso- och sjukvård V Jämtlands landstingsprogram"
SE,Sweden,6,Jämtlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Länsprogram 2006-2010
SE,Sweden,6,Jämtlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Socialdemokraterna i Jämtlands län Länsprogram 2011 - 2014
SE,Sweden,6,Jämtlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Länsprogram
SE,Sweden,6,Jämtlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Förändring
SE,Sweden,6,Jämtlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Ett levande landskap och län
SE,Sweden,6,Jämtlands län,11810,CP,Centerpartiet,Centre Party,2006,Centerpartiets Länsprogram Angaende Vard Hälsa
SE,Sweden,6,Jämtlands län,11810,CP,Centerpartiet,Centre Party,2010,"Länsmanifest Rätten att råda över sitt eget liv, förnuftet att bruka utan att förbruka Grön centerpolitik i Jämtlands län"
