country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,7,Jönköpings län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Ett friskare Jönköpings län
SE,Sweden,7,Jönköpings län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,"Landstingsprogram 2010 - 2014 –Vägen Till Ekologisk, Social & Demokratisk Hallbarhet"
SE,Sweden,7,Jönköpings län,11320,SAP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,No title
SE,Sweden,7,Jönköpings län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Fri och Trygg med Folkpartiet Länspolitiskt handlingsprogram 2006
SE,Sweden,7,Jönköpings län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Fri och Trygg
SE,Sweden,7,Jönköpings län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Ett landsting där ingen hålls tillbaka och ingen lämnas efter
SE,Sweden,7,Jönköpings län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,För ett mänskligare liv
SE,Sweden,7,Jönköpings län,11810,CP,Centerpartiet,Centre Party,2006,Möjligheternas län
SE,Sweden,7,Jönköpings län,11810,CP,Centerpartiet,Centre Party,2010,C - En Grön Kraft I Jönköping 
SE,Sweden,7,Jönköpings län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Valmanifest 2010
