country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,8,Kalmar län,11810,CP,Centerpartiet,Centre Party,2002,Konkreta förslag till förbättringar av ett bra län nu - och i framtiden Valplattform för Centerpartiet i Kalmar län 2002 2006
SE,Sweden,8,Kalmar län,11810,CP,Centerpartiet,Centre Party,2006,Centerpartiets dröm för ett grönt, företagsamt, tryggt och öppet Kalmar län!
SE,Sweden,8,Kalmar län,11810,CP,Centerpartiet,Centre Party,2010,Kalmar läns gröna röst
SE,Sweden,8,Kalmar län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Det Friska Och Levande Samhället Hälso- Och Sjukvardspolitik Samt Regional Utveckling I Kalmar Län
SE,Sweden,8,Kalmar län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Grönare I Hälsolänet 
SE,Sweden,8,Kalmar län,11220,Vp,Vänsterpartiet,Left Party,2006,Vänsterpartiet Kalmar län Landstingspolitiskt program för Kalmar län 2007—2010
SE,Sweden,8,Kalmar län,11220,Vp,Vänsterpartiet,Left Party,2010,Världens bästa välfärd!
SE,Sweden,8,Kalmar län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Politisk plattform för Landstinget i Kalmar län 2006-2010
SE,Sweden,8,Kalmar län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Valplattform - Fler jobb och en trygg sjukvård
SE,Sweden,8,Kalmar län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,Vård i tid - för alla!
SE,Sweden,8,Kalmar län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Rättvis vård utan köer!
SE,Sweden,8,Kalmar län,11810,CP,Centerpartiet,Centre Party,2006,Centerpartiets dröm för ett grönt, företagsamt, tryggt och öppet Kalmar län!
SE,Sweden,8,Kalmar län,11810,CP,Centerpartiet,Centre Party,2010,Kalmar läns gröna röst
SE,Sweden,8,Kalmar län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Med dina behov i fokus
SE,Sweden,8,Kalmar län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,Trygghet, frihet och utveckling

