country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,10,Norrbottens län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Regions & Landstingsprogram En hållbar utveckling för Kronoberg
SE,Sweden,10,Norrbottens län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010, no title
SE,Sweden,10,Norrbottens län,11220,Vp,Vänsterpartiet,Left Party,2006,VÄNSTERPARTIET KRONOBERGS LANDSTINGSPOLITISKT PROGRAM år 2007-2010
SE,Sweden,10,Norrbottens län,11220,Vp,Vänsterpartiet,Left Party,2010,Sammanfattning av Vänsterpartiets program för Landstinget Kronoberg
SE,Sweden,10,Norrbottens län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Kronoberg inför 2010 Socialdemokraterna i Kronobergs valprogram 2006 – 2010
SE,Sweden,10,Norrbottens län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Regional und Halsö etc. 
SE,Sweden,10,Norrbottens län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,landstingspolitiskt handlingsprogram 2006-2010
SE,Sweden,10,Norrbottens län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Valmanifest 2006 för Landstingsvalet i Kronobergs län
SE,Sweden,10,Norrbottens län,11810,CP,Centerpartiet,Centre Party,2006,Länsprogram för Centerpartiet Kronoberg
SE,Sweden,10,Norrbottens län,11810,CP,Centerpartiet,Centre Party,2010,no title
SE,Sweden,10,Norrbottens län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Föregangslänet Kronoberg
