country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,15,Stockholms län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Det Här Vill Vt Göra För Dig Landstingspolitiskt program 2007-2010 
SE,Sweden,15,Stockholms län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Landstingspolitiskt Program 2011-2014
SE,Sweden,15,Stockholms län,11220,Vp,Vänsterpartiet,Left Party,2006,No title
SE,Sweden,15,Stockholms län,11220,Vp,Vänsterpartiet,Left Party,2010,Världens bästa välfärd – utan vinstintresse
SE,Sweden,15,Stockholms län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,En modern sjukvård för alla – inte bara några Sjukvårdspolitisk plattform för Socialdemokraterna i Stockholmsregionen
SE,Sweden,15,Stockholms län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Valprogram för Socialdemokraterna i Stockholm 2010
SE,Sweden,15,Stockholms län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Regionalt utvecklingsprogram Förändring för en växande Stockholmsregion
SE,Sweden,15,Stockholms län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,No title
SE,Sweden,15,Stockholms län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Trygghet och valfrihet Valmanifest för Kristdemokraterna i Stockholms stad
SE,Sweden,15,Stockholms län,11810,CP,Centerpartiet,Centre Party,2006,Valplattform inför landstingsvalet 2006
SE,Sweden,15,Stockholms län,11810,CP,Centerpartiet,Centre Party,2010,Dit val för en halbar grön region
SE,Sweden,15,Stockholms län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,(S)tockhol(M)
