country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,13,Södermansland län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Det handlar om din hälsa Landstingspolitiskt program 2007-2010
SE,Sweden,13,Södermansland län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Ett öppet och hållbart landsting
SE,Sweden,13,Södermansland län,11220,Vp,Vänsterpartiet,Left Party,2006,Arbete – Demokrati – Rättvisa Landstings- och länspolitiskt program 2007 - 2010
SE,Sweden,13,Södermansland län,11220,Vp,Vänsterpartiet,Left Party,2010,Landstings- och regionpolitiskt program 2011-2014
SE,Sweden,13,Södermansland län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Landstingspolitiskt program 2007-2010 Socialdemokraterna i Sörmland
SE,Sweden,13,Södermansland län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,,no title
SE,Sweden,13,Södermansland län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,Landstingsprogram 2007-2010
SE,Sweden,13,Södermansland län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,No Title
SE,Sweden,13,Södermansland län,11810,CP,Centerpartiet,Centre Party,2006,Handlingsprogram för Centerpartiet i Sörmland 2007 – 2010
SE,Sweden,13,Södermansland län,11810,CP,Centerpartiet,Centre Party,2010,Vård på lika villkor
SE,Sweden,13,Södermansland län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,"En liberal politik för valfrihet, kvalitet och jämlik hälsa"
