country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,16,Uppsala län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Ett friskare Uppsala län 
SE,Sweden,16,Uppsala län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Ett friskare Uppsala län
SE,Sweden,16,Uppsala län,11220,Vp,Vänsterpartiet,Left Party,2006,Regionalpolitisktprogram Uppsala län
SE,Sweden,16,Uppsala län,11220,Vp,Vänsterpartiet,Left Party,2010,Landstingspolitisktprogram 2011-2014
SE,Sweden,16,Uppsala län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,No title
SE,Sweden,16,Uppsala län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Valmanifest
SE,Sweden,16,Uppsala län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Folkpartiet Liberalernas regionprogram 2006 tillväxt i hela Uppsala län
SE,Sweden,16,Uppsala län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,En trygg och tillgänglig vård för alla
SE,Sweden,16,Uppsala län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Bästa tänkbara hälso- och sjukvård
SE,Sweden,16,Uppsala län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,Valmanifest 2010-2014
SE,Sweden,16,Uppsala län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,En Politik För Att Befria Varden 
SE,Sweden,16,Uppsala län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Provval Landstingsvalet 2010
SE,Sweden,16,Uppsala län,11810,CP,Centerpartiet,Centre Party,2006,No title
SE,Sweden,16,Uppsala län,11810,CP,Centerpartiet,Centre Party,2010,Landstingsprogram för Uppsala län
