country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,18,Västerbottens län,11220,VP,Vänsterpartiet,Left Party,2006,Länsprogram
SE,Sweden,18,Västerbottens län,11220,VP,Vänsterpartiet,Left Party,2010,Länsprogram
SE,Sweden,18,Västerbottens län,11220,VP,Vänsterpartiet,Left Party,2010,God hälsa för alla västerbottningar 
SE,Sweden,18,Västerbottens län,11320,SAP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Valmanifest Valet 2006 Socialdemokraterna i Västerbotten
SE,Sweden,18,Västerbottens län,11320,SAP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Valprogram 2011 – 2014
SE,Sweden,18,Västerbottens län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Politiskt program I valet 2006 publicerade Folkpartiet i Västerbotten detta politiska program.
SE,Sweden,18,Västerbottens län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,No title
SE,Sweden,18,Västerbottens län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Ett landsting där ingen hålls tillbaka och ingen lämnas efter 
SE,Sweden,18,Västerbottens län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,No title
SE,Sweden,18,Västerbottens län,11810,CP,Centerpartiet,Centre Party,2006,Valplattform 2006
SE,Sweden,18,Västerbottens län,11810,CP,Centerpartiet,Centre Party,2010,Valplattform Landstingsvalet
