country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,19,Västernorrlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,No title
SE,Sweden,19,Västernorrlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,No title
SE,Sweden,19,Västernorrlands län,11220,Vp,Vänsterpartiet,Left Party,2006,Hur vill Du ha det i Västernorrland?
SE,Sweden,19,Västernorrlands län,11220,Vp,Vänsterpartiet,Left Party,2010,Hälsa är en mänsklig rättighet, ingen handelsvara!
SE,Sweden,19,Västernorrlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Utveckla Västernorrland 2007-2010
SE,Sweden,19,Västernorrlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Möjligheternas Västernorrland bygger vi tillsammans
SE,Sweden,19,Västernorrlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,Komm igen Västernorrl
SE,Sweden,19,Västernorrlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Länsprogramm KOM IGEN VÄSTERNORRLAND
SE,Sweden,19,Västernorrlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Trygghet och frihet att välja i sjukvården! 	
SE,Sweden,19,Västernorrlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,No title
SE,Sweden,19,Västernorrlands län,118101.1,CP,Centerpartiet,Centre Party,2006,Ett Västernorrland där du kan växa
SE,Sweden,19,Västernorrlands län,118101.2,CP,Centerpartiet,Centre Party,2006,Västernorrland förtjänar bättre
