country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,21,Västra Götlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Vill du gå den gröna vägen
SE,Sweden,21,Västra Götlands län,11220,Vp,Vänsterpartiet,Left Party,2006,Hälso- och sjukvårdspolitiskt program för Vänsterpartiet Västra Götaland
SE,Sweden,21,Västra Götlands län,11220,Vp,Vänsterpartiet,Left Party,2010,Valplattform Vänsterpartiet Västra Götaland
SE,Sweden,21,Västra Götlands län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,I vårt Västra Götaland får alla plats Socialdemokraternas valmanifest för Västra Götalandsregionen
SE,Sweden,21,Västra Götlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,En liberal väg i regionen Folkpartiets regionprogram 2007-2010 Västra Götalandsregionen En liberal väg i regionen
SE,Sweden,21,Västra Götlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,No title
SE,Sweden,21,Västra Götlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,No title
SE,Sweden,21,Västra Götlands län,11810,CP,Centerpartiet,Centre Part,2006,Drömmen om en gemensam region. Valprogram 2007-2010 Centerpartiet i Västra Götaland
SE,Sweden,21,Västra Götlands län,11810,CP,Centerpartiet,Centre Part,2010,No title
SE,Sweden,21,Västra Götlands län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Valmanifest 2010
