country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,11,Örebro län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Några tankar om hälso- och sjukvård Miljöpartiet de Gröna i Örebro län
SE,Sweden,11,Örebro län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,no title
SE,Sweden,11,Örebro län,11220,Vp,Vänsterpartiet,Left Party,2006,Landstings- och regionalpolitik Vänsterpartiet i Örebro län
SE,Sweden,11,Örebro län,11220,Vp,Vänsterpartiet,Left Party,2010,Valprogram 2011-2014 Vänsterpartiet i Örebro
SE,Sweden,11,Örebro län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Ett Örebro län för alla 
SE,Sweden,11,Örebro län,11320,SdaP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,no title
SE,Sweden,11,Örebro län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,En ny syn på vården
SE,Sweden,11,Örebro län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Rättvis vård – handlingsprogram för hälsa Moderaterna i Örebro läns landsting Valet 2010
SE,Sweden,11,Örebro län,11810,CP,Centerpartiet,Centre Party2006,no title
SE,Sweden,11,Örebro län,11810,CP,Centerpartiet,Centre Party2010,"Länsprogram Örebro län 2011 - 2014 Tre nyanser av grönt Vi vill, vi kan, vi genomför"
SE,Sweden,11,Örebro län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,No title
