country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,12,Östergötlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,"Regionprogram Pa Väg Till Ekologisk, Social & Demokratisk Hallbarhet"
SE,Sweden,12,Östergötlands län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Regionprogram 2010-2014
SE,Sweden,12,Östergötlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,"REGIONALT PROGRAM Kom igen Östergötland"
SE,Sweden,12,Östergötlands län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,Framtidsprogram för Östergötland
SE,Sweden,12,Östergötlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Regionpolitiskt program för Östergötland 
SE,Sweden,12,Östergötlands län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2010,"Mänsklig tillväxt i hela Östergötland!"
SE,Sweden,12,Östergötlands län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,Regionalt program 2007-2010.
SE,Sweden,12,Östergötlands län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,no title
SE,Sweden,12,Östergötlands län,11810,CP,Centerpartiet,Centre Party,2006,Regionalt program
SE,Sweden,12,Östergötlands län,11810,CP,Centerpartiet,Centre Party,2010,Östergötland – en grön framtidsregion!
SE,Sweden,12,Östergötlands län,11320,SAP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Regional und Halsö etc.

