country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CH,Switzerland,5,Basel-Land,43811,BDP,Bürgerlich-Demokratische Partei Schweiz,Conservative Democratic Party of Switzerland,2011,Erste programmatische Schwerpunkte
CH,Switzerland,5,Basel-Land,43520,CVP/PDC,,,,
CH,Switzerland,5,Basel-Land,43530,EVP/PEP,,,,
CH,Switzerland,5,Basel-Land,43420,FDP/PRD,,,,
CH,Switzerland,5,Basel-Land,43120,GLP,Grünliberale Partei der Schweiz,Green Liberal Party of Switzerland,2011,Verantwortung wahrnehmen und respektvoll leben und politisieren
CH,Switzerland,5,Basel-Land,43110,GPS,,,,
CH,Switzerland,5,Basel-Land,43110,GPS,,,,
CH,Switzerland,5,Basel-Land,43320,SPS/PSS,,,,
CH,Switzerland,5,Basel-Land,43320,SPS/PSS,,,,
CH,Switzerland,5,Basel-Land,43810,SVP/UDC,,,,
