country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CH,Switzerland,6,Basel-Stadt,43420,FDP,Freisinnig-Demokratische Partei,Free Democratic Party,2004,Mit uns Basel gestalten Zielsetzungen 2004-2008
CH,Switzerland,6,Basel-Stadt,43420,FDP,Freisinnig-Demokratische Partei,Free Democratic Party,2004,Wahlkampfthemen

CH,Switzerland,6,Basel-Stadt,43530,EVP,Evangelische Volkspartei der Schweiz,Evangelical People's Party of Switzerland,2007,Grundlagenpapier 2007-2010
CH,Switzerland,6,Basel-Stadt,43810,SVP,Schweizerische Volkspartei,Swiss People's Party,2007,Parteiprogramm 2007-2011

CH,Switzerland,6,Basel-Stadt,43520,CVP,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People's Party of Switzerland,2008,Parteiprogramm

CH,Switzerland,6,Basel-Stadt,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2009,Legislaturziele 2009-2013
CH,Switzerland,6,Basel-Stadt,43420,FDP,Freisinnig-Demokratische Partei,Free Democratic Party,2009,Legislaturprogramm der Basler FDP 2009-2013
