country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CH,Switzerland,4,Bern,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,2010,Wahlmanifest der CVP Kanton Bern
CH,Switzerland,4,Bern,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Protestant People’s Party,2006,Parteiprogramm 2006-2013
CH,Switzerland,4,Bern,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Protestant People’s Party,2010,Mittendrin Evangelische Volkspartei
CH,Switzerland,4,Bern,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2001,FreiSinnige Liberale Berner Thesen
CH,Switzerland,4,Bern,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2010,Themen 2010
CH,Switzerland,4,Bern,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2006,Legislaturziele 2006 bis 2010 - Inhaltliche Schwerpunkte
CH,Switzerland,4,Bern,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,1997,"Leitsätze Grüne - Freie Liste Kanton Bern"
CH,Switzerland,4,Bern,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2006,Grüne Wahlplattform der Liste Grün für die Kantonswahlen 06
CH,Switzerland,4,Bern,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2007,Wahlplattform 2007
CH,Switzerland,4,Bern,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2010,"Mehr Schub für engagierte ökologische und soziale Politik Wahlplattform Grüne Kanton Bern, Grossratswahlen 2010"
CH,Switzerland,4,Bern,43320,SPS/PSS,Sozialdemokratische Partei der Schweiz,Social Democratic Party,2002,Positionspapiere zu den Grossrats- und Regierungsratswahlen 2002
CH,Switzerland,4,Bern,43320,SPS/PSS,Sozialdemokratische Partei der Schweiz,Social Democratic Party,2006,Legislaturziele der SP/JUSO-Grossratsfraktion 2006–2010
CH,Switzerland,4,Bern,43320,SPS/PSS,Sozialdemokratische Partei der Schweiz,Social Democratic Party,2007,Wahlplattform
CH,Switzerland,4,Bern,43320,SPS/PSS,Sozialdemokratische Partei der Schweiz,Social Democratic Party,2010,Wahlplattform der SP Kanton Bern für dei Grossratswahlen 2010
CH,Switzerland,4,Bern,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People’s Party,1990,Akzente 1990
CH,Switzerland,4,Bern,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People’s Party,1994,Akzente 1994
CH,Switzerland,4,Bern,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People’s Party,2002,Akzente 2002-2006
CH,Switzerland,4,Bern,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People’s Party,2007,Zu Hause bei der Bernischen SVP
CH,Switzerland,4,Bern,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People’s Party,2010,Die SVP setzt sich ein
CH,Switzerland,4,Bern,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People’s Party,2010,Legislaturziele der SVP Fraktion für 2010-2014 
