country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CH,Switzerland,7,Fribourg,43811,BDP,Bürgerlich-Demokratische Partei Schweiz,Conservative Democratic Party of Switzerland,2011,Programm Bürgerlich-Demokratische Partei Schweiz - Kanton Freiburg
CH,Switzerland,7,Fribourg,43540,CSP/PCS,Christlich-soziale Partei,Christian-social party,2011,Programme législatif 2011-16
CH,Switzerland,7,Fribourg,43520,CVP/PDC,,,,
CH,Switzerland,7,Fribourg,43520,CVP/PDC,,,,
CH,Switzerland,7,Fribourg,43420,FDP/PRD,,,,
CH,Switzerland,7,Fribourg,43420,FDP/PRD,,,,
CH,Switzerland,7,Fribourg,43120,GLP,Grünliberale Partei der Schweiz,Green Liberal Party of Switzerland,2011,Natürlich - Liste 6 - Naturellement
CH,Switzerland,7,Fribourg,43110,GPS,,,,
CH,Switzerland,7,Fribourg,43320,SPS/PSS,,,,
CH,Switzerland,7,Fribourg,43810,SVP/UDC,,,,
CH,Switzerland,7,Fribourg,43810,SVP/UDC,,,,
