country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

CH,Switzerland,9,Glarus,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,1990,Politische Richtlinien der Glarner Umweltgruppen

CH,Switzerland,9,Glarus,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,1998,Wahlplattform der Glarner Umweltgruppen

CH,Switzerland,9,Glarus,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2001,Parteiprogramm

CH,Switzerland,9,Glarus,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2002,Unsere Ziele unsere Konzepte

CH,Switzerland,9,Glarus,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2004,Parteiprogramm


CH,Switzerland,9,Glarus,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2010,no title
CH,Switzerland,9,Glarus,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2010,Ziele der FDP-Landratsfraktion 2010 bis 2014
