country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

CH,Switzerland,14,Nidwalden,43810,SVP,Schweizerische Volkspartei,Swiss People's Party,2004,Parteiprogramm 2004-2007

CH,Switzerland,14,Nidwalden,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2006,Aus guten GRÜNden

CH,Switzerland,14,Nidwalden,43810,SVP,Schweizerische Volkspartei,Swiss People's Party,2008,Parteiprogramm 2008-2011

CH,Switzerland,14,Nidwalden,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2010,Grün bewegt

CH,Switzerland,14,Nidwalden,43810,SVP,Schweizerische Volkspartei,Swiss People's Party,2012,Parteiprogramm 2012-2015 Miär hend Sorg zu Nidwälda!

CH,Switzerland,14,Nidwalden,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2014,Thesen 2010-2014
CH,Switzerland,14,Nidwalden,43420,FDP,Freisinnig-Demokratische Partei,Free Democratic Party,2014,Parteiprogramm 2014 bis 2018
CH,Switzerland,14,Nidwalden,43320,SP,Sozialdemokratische Partei der Schweiz,Social Democratic Party of Switzerland,2014,Schluss mit schönen Worten, jetzt braucht es Taten!
CH,Switzerland,14,Nidwalden,43520,CVP,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People's Party of Switzerland,2014,Parteiprogramm der CVP Nidwalden. CVP für Familien und Mittelstand
