country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

CH,Switzerland,17,Schaffhausen,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2000,Programm

CH,Switzerland,17,Schaffhausen,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People's Party,2004,Wahlplattform 2004-mehr SVP-weniger Probleme

CH,Switzerland,17,Schaffhausen,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2005,Unser Motto:ÖBS- nachhaltig gut

CH,Switzerland,17,Schaffhausen,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2008,Programm
CH,Switzerland,17,Schaffhausen,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People's Party of Switzerland,2008,Wahlprogramm 2008-CVP-die Bürgerliche Mitte
CH,Switzerland,17,Schaffhausen,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People's Party,2008,6Punkte Programm

CH,Switzerland,17,Schaffhausen,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2009,Wir haben Zug!
CH,Switzerland,17,Schaffhausen,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2009,FDP Legislaturziele 2009-2012
