country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

CH,Switzerland,18,Solothurn,43420,FDP,Freisinnig-Demokratische Partei,Free Democratic Party,1997,"10 Solothurner und Solothurnerinnen sagen Ihnen, was Sie aus unserem Kanton machen wollen"

CH,Switzerland,18,Solothurn,43420,FDP,Freisinnig-Demokratische Partei,Free Democratic Party,2001, Politik für alle Schichten

CH,Switzerland,18,Solothurn,43420,FDP,Freisinnig-Demokratische Partei,Free Democratic Party,2005,Bewegung tut gut
CH,Switzerland,18,Solothurn,43320,SP,Sozialdemokratische Partei der Schweiz,Social Democratic Party of Switzerland,2005,Legislaturziele 2005-2009
CH,Switzerland,18,Solothurn,43520,CVP,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People's Party of Switzerland,2005,Programm 2005-2009

CH,Switzerland,18,Solothurn,43520,CVP,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People's Party of Switzerland,2009,Programm 2009-2013
CH,Switzerland,18,Solothurn,43810,SVP,Schweizerische Volkspartei,Swiss People's Party,2009,Wahlplattform 2009-2013
