country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CH,Switzerland,16,St. Gallen,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2004,Seit 200 Jahren die richtungsweisende Kraft in unserem Kanton- für eine Zukunft mit Perspektiven
CH,Switzerland,16,St. Gallen,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Evangelical People's Party of Switzerland,2004,Parteiprogramm
CH,Switzerland,16,St. Gallen,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People's Party of Switzerland,2007,Parteiprogramm 2007-2011
CH,Switzerland,16,St. Gallen,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People's Party,2007,Mein Zuhause Unser Kanton St.Gallen Parteiprogramm 2007-2011
CH,Switzerland,16,St. Gallen,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,2008,Dafür steht die FDP im Kanton St.Ga
CH,Switzerland,16,St. Gallen,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2008,Wahlprogramm 2008
CH,Switzerland,16,St. Gallen,43320,SPS/PSS,Sozialdemokratische Partei der Schweiz,Social Democratic Party of Switzerland,2008,Legislaturprogramm 2008-2012
CH,Switzerland,16,St. Gallen,43811,BDP,Bürgerlich-Demokratische Partei Schweiz,Conservative Democratic Party of Switzerland,2012,Parteiprogramm der BDP des Kantons St. Gallen
CH,Switzerland,16,St. Gallen,43110,GPS,Grüne Partei der Schweiz,Green Party of Switzerland,2012,Positionen
CH,Switzerland,16,St. Gallen,43954,Pir,Piratenpartei,Pirate Party,2012,Unsere Ziele 
CH,Switzerland,16,St. Gallen,43320,SPS/PSS,Sozialdemokratische Partei der Schweiz,Social Democratic Party of Switzerland,2012,Am 11. März links wählen!
CH,Switzerland,16,St. Gallen,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People's Party of Switzerland,2012,Leitbild der CVP Kanton St. Gallen
CH,Switzerland,16,St. Gallen,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Evangelical People's Party of Switzerland,2012,Christliche Werte- Menschliche Politik
CH,Switzerland,16,St. Gallen,43810,SVP/UDC,Schweizerische Volkspartei,Swiss People's Party,2012,"Die SVP Kanton St. Gallen- klar, konsequent, volksverbunden"
