country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
UK,United Kingdom,3,Wales,51620,Con,,,,
UK,United Kingdom,3,Wales,51620,Con,,,,
UK,United Kingdom,3,Wales,51620,Con,,,,
UK,United Kingdom,3,Wales,51620,Con,,,,
UK,United Kingdom,3,Wales,51101,G_W,Green Party,Green Party,2016,For People. For Planet. For Wales.
UK,United Kingdom,3,Wales,51101,G_W,,,,
UK,United Kingdom,3,Wales,51320,Lab,Labour Party,Labour Party,2016,Welsh Labour Manifesto 2016
UK,United Kingdom,3,Wales,51320,Lab,,,,
UK,United Kingdom,3,Wales,51320,Lab,,,,
UK,United Kingdom,3,Wales,51320,Lab,,,,
UK,United Kingdom,3,Wales,51320,Lab,,,,
UK,United Kingdom,3,Wales,51421,LDP,Liberal Democratic Party,Liberal Democratic Party,2016,A Wales that Works for you
UK,United Kingdom,3,Wales,51421,LDP,,,,
UK,United Kingdom,3,Wales,51421,LDP,,,,
UK,United Kingdom,3,Wales,51421,LDP,,,,
UK,United Kingdom,3,Wales,51421,LDP,,,,
UK,United Kingdom,3,Wales,51421,LDP,,,,
UK,United Kingdom,3,Wales,51301,Pcy,Plaid Cymru,Plaid Cymru,2010,Think Different, Think Plaid
UK,United Kingdom,3,Wales,51301,Pcy,Plaid Cymru,Plaid Cymru,2016,The Change Wales Needs
UK,United Kingdom,3,Wales,51301,Pcy,,,,
UK,United Kingdom,3,Wales,51301,Pcy,,,,
UK,United Kingdom,3,Wales,51301,Pcy,,,,
UK,United Kingdom,3,Wales,51301,Pcy,,,,
UK,United Kingdom,3,Wales,51951,UKIP,United Kingdom Independence Party,United Kingdom Independence Party,2016,Raising the Dragon - A Strong Voice for Wales
UK,United Kingdom,3,Wales,51951,UKIP,,,,
UK,United Kingdom,3,Wales,51951,UKIP,,,,
